"","V1","V2","V3","V4","V5","V6","Parameter"
"18080",215.56,185.504,216.095,244.064,894.42,1.001,"lp_"
"18081",0.965,0.727,0.967,1.186,571.936,1.001,"B_0"
"18082",0.034,-0.251,0.033,0.336,515.596,1,"B_x"
"18083",0.391,0.253,0.392,0.524,635.135,1,"psi"
"18084",0.273,0.165,0.265,0.435,956.649,1,"Sigma2_intercept"
"18085",0.136,0.077,0.131,0.221,1897.436,1,"Sigma2_psi"
"18086",1.117,0.76,1.084,1.625,1392.05,1.001,"Sigma2_x"
"18087",0.008,0,0.005,0.035,1336.215,1,"Sigma2_epsilon"
"18088",0.181,0.081,0.173,0.325,1280.754,1.001,"Sigma2_phi"
"18089",-0.086,-0.164,-0.083,-0.021,691.916,1.001,"cov_int_psi"
"18090",0.122,0.051,0.117,0.222,795.944,1.001,"cov_int_phi"
"18091",-0.069,-0.129,-0.067,-0.025,1190.427,1,"cov_psi_phi"
"18092",-0.086,-0.164,-0.083,-0.021,691.916,1.001,"cov_1"
"18093",0,-0.028,0,0.028,1937.814,1,"cov_2"
"18094",-0.003,-0.024,-0.001,0.014,2318.93,1,"cov_3"
"18095",0.309,0.155,0.3,0.512,854.211,1.001,"cov_4"
"18096",-0.17,-0.308,-0.165,-0.064,1246.908,1,"cov_5"
"18097",-0.001,-0.073,0,0.069,323.961,1.002,"cov_6"
"18098",0.587,0.527,0.586,0.656,4986.275,1,"Sigma2_e"
"18099",0.095,0.086,0.095,0.105,7403.198,1,"Sigma2_ex"
"18100",243.732,214.349,243.813,271.005,956.651,1,"lp_"
"18101",0.892,0.679,0.891,1.095,942.877,1,"B_0"
"18102",-0.083,-0.321,-0.086,0.161,1021.361,1,"B_x"
"18103",0.383,0.23,0.38,0.556,615.624,1,"psi"
"18104",0.246,0.154,0.239,0.376,1450.371,1,"Sigma2_intercept"
"18105",0.071,0.032,0.068,0.13,1882.184,1,"Sigma2_psi"
"18106",0.753,0.518,0.736,1.082,1521.041,1,"Sigma2_x"
"18107",0.02,0,0.017,0.059,1292.797,1,"Sigma2_epsilon"
"18108",0.127,0.065,0.122,0.218,1917.076,1,"Sigma2_phi"
"18109",-0.061,-0.114,-0.059,-0.017,2290.998,1,"cov_int_psi"
"18110",0.087,0.033,0.083,0.158,1662.317,1,"cov_int_phi"
"18111",-0.042,-0.083,-0.041,-0.011,1555.937,1.001,"cov_psi_phi"
"18112",-0.061,-0.114,-0.059,-0.017,2290.998,1,"cov_1"
"18113",-0.001,-0.039,0,0.036,1383.57,1.002,"cov_2"
"18114",-0.002,-0.022,-0.001,0.019,1902.181,1.001,"cov_3"
"18115",0.228,0.11,0.223,0.376,1608.873,1,"cov_4"
"18116",-0.107,-0.196,-0.103,-0.036,1513.827,1,"cov_5"
"18117",-0.004,-0.101,-0.001,0.085,402.18,1.003,"cov_6"
"18118",0.566,0.507,0.564,0.632,2771.36,1,"Sigma2_e"
"18119",0.103,0.093,0.103,0.114,5110.331,1,"Sigma2_ex"
"18120",229.555,199.189,229.914,258.857,752.955,1,"lp_"
"18121",0.866,0.68,0.868,1.04,1351.004,1,"B_0"
"18122",-0.162,-0.393,-0.163,0.087,1110.192,1,"B_x"
"18123",0.301,0.142,0.302,0.454,611.753,1,"psi"
"18124",0.205,0.119,0.197,0.33,1474.815,1.001,"Sigma2_intercept"
"18125",0.1,0.051,0.096,0.175,2093.635,1,"Sigma2_psi"
"18126",0.812,0.55,0.789,1.207,1817.522,1,"Sigma2_x"
"18127",0.015,0,0.012,0.048,1325.268,1,"Sigma2_epsilon"
"18128",0.09,0.034,0.085,0.171,2208.181,1,"Sigma2_phi"
"18129",-0.056,-0.116,-0.054,-0.005,1721.244,1.001,"cov_int_psi"
"18130",0.051,0.009,0.049,0.11,2143.941,1.002,"cov_int_phi"
"18131",-0.037,-0.077,-0.035,-0.007,1705.869,1,"cov_psi_phi"
"18132",-0.056,-0.116,-0.054,-0.005,1721.244,1.001,"cov_1"
"18133",0.001,-0.027,0.001,0.03,1590.453,1,"cov_2"
"18134",-0.006,-0.031,-0.005,0.011,1671.812,1,"cov_3"
"18135",0.167,0.052,0.163,0.31,2012.3,1.001,"cov_4"
"18136",-0.102,-0.203,-0.099,-0.012,1668.048,1,"cov_5"
"18137",0.001,-0.084,0,0.085,330.936,1.003,"cov_6"
"18138",0.593,0.534,0.592,0.658,4325.6,1,"Sigma2_e"
