"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
0.184,0.148,0.184,0.223,1647.221,1,"Sigma2_intercept"
0.004,0,0.003,0.014,1063.489,1,"Sigma2_epsilon"
0.079,0.061,0.079,0.099,3854.423,1,"Sigma2_phi"
0.947,0.947,0.947,0.947,0.5,1,"Sigma2_x"
0.04,0.024,0.039,0.062,1853.038,1,"cov_int_phi"
0.01,-0.003,0.01,0.031,1697.907,1,"cov_2"
0.725,0.686,0.725,0.765,3219.159,1,"Sigma2_e"
-1890.184,-1963.496,-1890.369,-1819.038,850.851,1,"lp__"
1.015,0.972,1.015,1.057,2200.261,1.001,"B_0"
0.256,0.223,0.256,0.29,2588.7,1.001,"psi"
0.18,0.143,0.18,0.221,1528.667,1,"Sigma2_intercept"
0.008,0,0.005,0.03,303.839,1.001,"Sigma2_epsilon"
0.076,0.056,0.074,0.103,547.469,1,"Sigma2_phi"
1.003,1.003,1.003,1.003,0.5,1,"Sigma2_x"
0.036,0.019,0.035,0.055,1529.838,1,"cov_int_phi"
0.004,-0.012,0.003,0.023,1327.578,1,"cov_2"
0.732,0.688,0.732,0.776,1365.471,1.002,"Sigma2_e"
-1902.853,-1984.695,-1902.555,-1819.94,625.335,1,"lp__"
1.036,0.993,1.036,1.081,1865.392,1.001,"B_0"
0.26,0.229,0.26,0.29,4039.973,1,"psi"
0.22,0.182,0.22,0.261,1530.905,1,"Sigma2_intercept"
0.003,0,0.002,0.016,501.871,1.001,"Sigma2_epsilon"
0.076,0.059,0.075,0.097,1567.333,1,"Sigma2_phi"
1.061,1.061,1.061,1.061,0.5,1,"Sigma2_x"
0.038,0.023,0.038,0.055,2893.473,1,"cov_int_phi"
0.001,-0.014,0.001,0.017,2704.016,1,"cov_2"
0.702,0.664,0.702,0.744,2763.962,1,"Sigma2_e"
-1836.373,-1911.371,-1836.099,-1761.02,865.837,1,"lp__"
1.023,0.976,1.023,1.069,4076.458,1,"B_0"
0.236,0.203,0.236,0.27,4276.772,1.002,"psi"
0.206,0.168,0.205,0.249,1344.604,1,"Sigma2_intercept"
0.021,0.002,0.02,0.045,550.126,1.002,"Sigma2_epsilon"
0.084,0.059,0.083,0.113,818.334,1,"Sigma2_phi"
0.981,0.981,0.981,0.981,0.5,1,"Sigma2_x"
0.056,0.035,0.056,0.078,1890.33,1,"cov_int_phi"
0.024,0.002,0.023,0.046,1774.111,1,"cov_2"
0.687,0.644,0.687,0.732,1210.698,1,"Sigma2_e"
-1801.131,-1889.061,-1800.613,-1714.664,476.833,1,"lp__"
1.021,0.984,1.021,1.059,2604.742,1,"B_0"
0.252,0.22,0.252,0.282,4714.213,1,"psi"
0.149,0.116,0.149,0.183,1565.222,1,"Sigma2_intercept"
0.004,0,0.002,0.02,313.991,1,"Sigma2_epsilon"
0.068,0.052,0.067,0.09,816.029,1,"Sigma2_phi"
1.012,1.012,1.012,1.012,0.5,1,"Sigma2_x"
0.021,0.006,0.022,0.035,2389.31,1.001,"cov_int_phi"
-0.002,-0.017,-0.001,0.011,2148.764,1.001,"cov_2"
0.728,0.688,0.728,0.771,1611.32,1,"Sigma2_e"
-1896.342,-1973.743,-1896.045,-1819.132,728.554,1,"lp__"
1.001,0.96,1.001,1.043,2083.978,1.001,"B_0"
0.278,0.245,0.278,0.31,2897.063,1,"psi"
0.182,0.147,0.181,0.221,1328.368,1,"Sigma2_intercept"
0.012,0,0.01,0.036,257.389,1,"Sigma2_epsilon"
0.092,0.069,0.091,0.121,465.154,1,"Sigma2_phi"
0.993,0.993,0.993,0.993,0.5,1,"Sigma2_x"
0.04,0.022,0.039,0.059,1769.877,1,"cov_int_phi"
0.007,-0.011,0.006,0.027,1644.563,1,"cov_2"
0.696,0.653,0.696,0.739,874.155,1,"Sigma2_e"
-1822.184,-1905.347,-1822.738,-1735.502,448.916,1,"lp__"
1.033,0.988,1.033,1.075,2485.086,1,"B_0"
0.257,0.221,0.258,0.292,1693.223,1,"psi"
0.207,0.17,0.206,0.246,1461.409,1.001,"Sigma2_intercept"
0.013,0,0.011,0.036,302.039,1,"Sigma2_epsilon"
0.084,0.061,0.083,0.111,515.731,1,"Sigma2_phi"
0.998,0.998,0.998,0.998,0.5,1,"Sigma2_x"
0.049,0.03,0.049,0.07,1516.804,1,"cov_int_phi"
0.011,-0.009,0.011,0.033,1210.443,1.001,"cov_2"
0.692,0.647,0.692,0.735,760.11,1,"Sigma2_e"
